PERMNO,date,TICKER,COMNAM,VOL,RET,vwretd,vwretx
11850,2022-11-30,XOM,EXXON MOBIL CORP,3680549,0.012995,0.052354,0.050479
11850,2022-12-30,XOM,EXXON MOBIL CORP,3765097,-0.009341,-0.057119,-0.059152
11850,2023-01-31,XOM,EXXON MOBIL CORP,3298480,0.051768,0.071823,0.070884
11850,2023-02-28,XOM,EXXON MOBIL CORP,3112485,-0.044738,-0.024666,-0.026252
11850,2023-03-31,XOM,EXXON MOBIL CORP,4125552,-0.002275,0.023950,0.022043
11850,2023-04-28,XOM,EXXON MOBIL CORP,2932966,0.079154,0.008976,0.007865
11850,2023-05-31,XOM,EXXON MOBIL CORP,3323727,-0.128866,0.000708,-0.001057
11850,2023-06-30,XOM,EXXON MOBIL CORP,3242507,0.049618,0.066183,0.064342
11850,2023-07-31,XOM,EXXON MOBIL CORP,3503962,-0.000093,0.035618,0.034672
11850,2023-08-31,XOM,EXXON MOBIL CORP,3159529,0.045319,-0.020608,-0.022266
11850,2023-09-29,XOM,EXXON MOBIL CORP,3206166,0.057469,-0.047390,-0.048860
11850,2023-10-31,XOM,EXXON MOBIL CORP,4939539,-0.099762,-0.028865,-0.029857
11850,2023-11-30,XOM,EXXON MOBIL CORP,4333930,-0.020406,0.092053,0.090037
11850,2023-12-29,XOM,EXXON MOBIL CORP,4539366,-0.026864,0.053604,0.051476
11850,2024-01-31,XOM,EXXON MOBIL CORP,4131932,0.028306,0.007561,0.006743
11850,2024-02-29,XOM,EXXON MOBIL CORP,3609151,0.025873,0.050583,0.049052
11850,2024-03-28,XOM,EXXON MOBIL CORP,3539533,0.112132,0.032450,0.030938
11850,2024-04-30,XOM,EXXON MOBIL CORP,3857731,0.017464,-0.042724,-0.043636
11850,2024-05-31,XOM,EXXON MOBIL CORP,4159809,-0.000507,0.046553,0.044979
11850,2024-06-28,XOM,EXXON MOBIL CORP,3475985,-0.018250,0.026073,0.024380
11850,2024-07-31,XOM,EXXON MOBIL CORP,2779580,0.030142,0.019878,0.019000
11850,2024-08-30,XOM,EXXON MOBIL CORP,2846732,0.002530,0.021572,0.020203
11850,2024-09-30,XOM,EXXON MOBIL CORP,3204417,-0.006105,0.020969,0.019485
11850,2024-10-31,XOM,EXXON MOBIL CORP,3026857,-0.003754,-0.008298,-0.009139
11850,2024-11-29,XOM,EXXON MOBIL CORP,2904346,0.018582,0.064855,0.063463
11850,2024-12-31,XOM,EXXON MOBIL CORP,3551211,-0.088081,-0.031582,-0.033469
